区分
2009年事業所数,2009年従業員数,2014年事業所数,2014年従業員数,2016年事業所数,2016年従業員数,2021年事業所数,2021年従業員数
農林漁業,11,81,17,136,14,117,14,81
鉱業採石業砂利採取業,-,-,1,2,1,2,-,-
建設業,482,6863,449,6358,438,5787,463,4785
製造業,446,16906,410,16718,394,17803,397,19812
電気・ガス・熱供給・水道業,13,197,10,194,5,105,6,180
情報通信業,34,472,24,464,21,414,24,527
運輸業郵便業,179,6347,192,5701,183,5343,199,6086
卸売業小売業,961,9883,854,7959,861,8108,814,8370
金融業保険業,58,787,64,855,64,807,54,764
不動産業物品賃貸業,329,1209,300,1157,284,1216,244,998
学術研究専門・技術サービス業,88,457,95,750,99,849,110,2245
宿泊業飲食サービス業,588,4589,555,4629,546,4733,515,4694
生活関連サービス業娯楽業,358,1760,357,1535,362,1685,350,1630
教育学習支援業,164,1936,162,2204,260,3374,134,1054
医療福祉,246,3739,291,4406,143,1143,302,4155
複合サービス事業,20,198,19,345,19,358,19,367
サービス業(他に分類されないもの),276,3574,262,4285,256,4366,267,4321
公務(他に分類されるものを除く),18,939,16,988,※,※,※,※
合計,4271,59937,4078,58686,3950,56210,3912,60069
