１３　市町村の主要指標,,,,,,,,,,,,,,,,,,,,
市 　町　 村,面積,世帯数,人口(2014.10.1),,,人口増減数(2013.10～2014.9),,人口割合（2010.10.1),,民営事業所(2012.2.1),,製造品出荷額等,年間商品販売額,農業(2010.2.1),,新設住宅着工戸数,自動車保有車両数,普通会計歳出決算額,個人住民税負担額,交通事故発生件数
,(2014.10.1),(2014.10.1),総数,男性,女性,自然増減,社会増減,15歳未満,65歳以上,事業所数,従業者数,(2012.12.31),(2012.2.1),総農家数　,経営耕地面積,(2013年),(2013年度）,(2013年度）,（2013年度）,（2013年）
,km2,世帯,人,人,人 ,人 ,人 ,％ ,％ ,所 ,人 ,百万円,,戸 ,ha ,戸 ,台,,,件 
総数,1905,3940446,8850607,4266553,4584054,-11457,1784,13,22,408713,4334776,16022741,50425250,26360,9409,69335,3472708,3819017,766262,46110
大阪市,225,1364161,2686246,1302787,1383459,-5300,8059,12,23,189234,2192422,3522064,38141269,468,135,29983,804138,1650402,224787,14556
堺市,150,353602,840016,402906,437110,-713,-133,14,23,29198,302156,3457509,1525417,2790,870,6170,381882,337369,70673,4733
岸和田市,73,78008,196586,94226,102360,-356,-437,15,22,7432,64451,225805,256575,1319,514,828,105381,72727,14481,1380
豊中市,36,172225,394983,186950,208033,241,738,14,22,13587,123597,239437,1228688,300,101,3738,132681,131626,45687,1573
池田市,22,45591,103070,49690,53380,-52,-225,13,22,3649,38225,560697,118609,314,115,832,39890,36476,10874,561
吹田市,36,162087,365904,176274,189630,595,1593,14,20,10962,134589,258043,1595468,207,70,3903,121423,105536,43293,1350
泉大津市,14,31427,76137,36115,40022,18,-391,16,20,3486,27910,142019,217638,146,32,473,36666,29325,5895,615
高槻市,105,148415,353950,169095,184855,-94,-1115,14,23,9367,98482,380819,502316,1457,463,2254,130817,110106,33707,1580
貝塚市,44,33895,89735,43276,46459,-176,-78,16,22,3333,29495,245892,115453,724,278,660,48533,29325,6501,638
