１３　市町村の主要指標,,,,,,,,,,,,,,,,,,,,,
市 　町　 村,面積,世帯数,人口(2017.10.1),,,人口増減数(2016.10～2017.9),,人口割合（2015.10.1),,民営事業所(2014.7.1),,製造品出荷額等,年間商品販売額,農業(2015.2.1),,新設住宅着工戸数,自動車保有車両数,普通会計歳出決算額,個人住民税負担額,交通事故発生件数,刑法犯認知件数
,(2016.10.1),(2017.10.1),総数,男性,女性,自然増減,社会増減,15歳未満,65歳以上,事業所数,従業者数,(2015.12.31),(2014.7.1),総農家数,経営耕地面積,(2016年),(2016年度）,(2016年度）,（2016年度）,（2016年）,（2016年）
,km2,世帯,人,人,人 ,人 ,人 ,％ ,％ ,事業所 ,人 ,百万円,,戸 ,ha ,戸 ,台,,,件 ,件 
総数,1905,4000180,8831642,4245957,4585685,-20036,13866,13,26,413110,4487792,16685899,47303124,23983,8456,69466,3498863,3819910,803007,37920,122136
大阪市,225,1392900,2713157,1311285,1401872,-7181,18305,11,25,190629,2267364,3686994,34747852,376,105,31631,811521,1572848,243595,12725,55295
堺市,150,354720,834267,399283,434984,-1731,-1605,14,27,29764,317936,3741642,1402024,2566,793,5240,385789,349889,73418,3997,10089
岸和田市,73,76101,192637,91902,100735,-427,-573,14,26,7541,65065,256482,281621,1222,465,801,106840,74521,14914,1141,2341
豊中市,36,173442,397490,187958,209532,-192,1668,14,25,13632,130814,296824,1226928,275,89,2548,133793,146210,48748,1110,3664
池田市,22,47203,103993,49855,54138,-152,663,13,26,3798,38441,567194,139954,292,110,980,39543,33837,11547,459,906
吹田市,36,172723,379246,182533,196713,435,489,14,23,11881,143760,292530,1517514,172,61,3643,122356,120788,45128,1067,3309
泉大津市,14,31364,75200,35837,39363,-60,-291,14,24,3451,28840,186035,310588,134,29,314,36913,28311,6161,469,1015
高槻市,105,149637,350145,167051,183094,-725,-44,13,28,9680,104175,374618,515895,1343,429,1904,130502,112265,33932,1061,2826
貝塚市,44,33700,87493,42009,45484,-253,-599,15,25,3388,30709,328912,129476,681,264,321,48821,31047,6648,483,1049
守口市,13,65917,142487,68600,73887,-460,488,11,29,6534,57508,129329,233943,79,30,1073,50579,59760,11438,716,2296
枚方市,65,169667,402005,191474,210531,-699,-223,13,27,10484,121368,753382,424772,1224,411,2322,162424,132602,37403,1585,3142
茨木市,76,119303,282012,136330,145682,269,484,15,23,9473,104780,339831,953675,1239,450,2060,113109,83623,29484,1009,2806
八尾市,42,112281,267581,127528,140053,-813,-104,13,27,12351,113468,994294,527728,975,275,1493,115848,95397,22792,980,3222
泉佐野市,57,42619,100567,48268,52299,-362,280,13,25,4793,51188,251880,231215,1029,488,663,60140,57936,7678,782,1304
富田林市,40,46126,112035,52745,59290,-408,-550,12,27,3481,34190,135168,91874,1202,397,523,58309,38168,10075,514,1012
寝屋川市,25,102080,233883,113113,120770,-657,-1146,11,29,7522,71375,176510,305123,450,160,876,91254,86652,18543,888,2716
河内長野市,110,42277,104713,49011,55702,-576,-583,11,31,2822,25836,101793,89972,844,238,303,55972,34652,9347,364,722
松原市,17,50757,119543,57419,62124,-579,-131,12,29,4889,40554,132806,199478,562,143,630,53207,44733,8789,656,1495
大東市,18,52456,121609,59419,62190,-273,-642,13,26,4821,51454,241370,193462,176,52,498,51680,40544,9418,425,1874
和泉市,85,72391,185440,89486,95954,-248,-280,15,23,5891,53226,177236,283282,1107,396,1091,98543,61613,15518,748,1777
箕面市,48,58419,135765,64917,70848,-31,1361,14,26,4414,42254,24216,376032,473,160,1031,57408,50171,16912,488,926
柏原市,25,29159,69799,33367,36432,-252,-303,12,26,2397,24505,261466,84479,256,91,333,30036,23735,5809,329,551
羽曳野市,26,44676,111221,52414,58807,-511,-170,13,28,3828,36235,137990,120188,691,244,507,54856,37868,8689,427,1207
門真市,12,56624,121936,59795,62141,-399,-581,12,28,5809,72143,363159,262565,162,55,807,52810,54622,8760,502,2068
摂津市,15,37451,84727,42122,42605,37,-251,13,24,4249,51516,382932,354811,182,58,1499,47383,33534,7293,449,1047
高石市,11,22813,56452,26735,29717,-140,9,13,27,2156,19303,738937,42491,118,27,377,26587,22535,5185,271,625
藤井寺市,9,27310,64692,30433,34259,-184,-199,13,27,2828,20992,48305,73284,194,42,289,27848,22720,5561,213,691
東大阪市,62,225989,498099,243490,254609,-1859,-505,12,28,25839,237677,1060572,1776095,556,141,3457,212402,200024,39589,2257,7936
泉南市,49,23078,61566,29453,32113,-217,-293,14,27,2199,23146,82598,66100,617,256,180,35830,22059,3922,276,666
四條畷市　,19,22288,55533,27071,28462,-89,-210,14,26,1761,13149,29086,34426,192,73,285,24505,18885,4626,183,641
交野市,26,29532,76389,36543,39846,-122,128,14,26,2067,17343,84035,70311,449,150,473,34912,23241,7198,296,488
大阪狭山市,12,23472,58138,27321,30817,-89,234,14,27,1896,19691,65431,54942,320,110,433,28104,18481,5866,269,472
阪南市,36,20986,53172,25240,27932,-253,-461,13,29,1580,11408,23292,28942,410,116,179,30926,18532,4114,152,349
島本町,17,12135,29962,14251,15711,-12,4,15,26,671,6958,59908,50605,141,41,162,10303,10616,2955,39,152
豊能町,34,7736,19135,9080,10055,-185,-199,8,39,326,2103,X,5345,321,174,27,11614,6563,1896,33,43
能勢町,99,3644,9689,4636,5053,-116,-166,8,35,397,3161,X,4569,996,655,5,10131,5019,693,39,55
忠岡町,4,6819,17011,8126,8885,-112,-64,14,27,608,6306,59044,22999,68,18,99,10331,6400,1190,109,176
熊取町,17,16718,44168,21592,22576,-37,-99,14,26,1245,9299,24109,22560,334,127,161,24647,12704,3673,192,356
田尻町,6,3880,8539,4284,4255,-21,183,15,23,395,4695,X,24025,72,22,48,4468,5504,648,33,187
岬町,49,6427,15585,7234,8351,-164,19,10,36,476,4078,X,6249,163,40,98,10182,7916,1086,67,136
太子町,14,5126,13478,6597,6881,-26,-130,14,26,423,2962,12918,5470,318,115,43,9264,4796,1087,49,73
河南町,25,6210,15953,7722,8231,-97,23,12,29,520,4901,X,6368,709,256,54,12327,5446,1317,53,98
千早赤阪村,37,2024,5130,2428,2702,-65,-70,9,41,201,1916,X,3893,293,101,5,4739,3147,362,15,31
資料出所,国土地理院,大阪府統計課,,,,,,,,総務省
経済産業省,,大阪府統計課,総務省
経済産業省,,,国土交通省,(財)自動車
検査登録情報協会,大阪府市町村課
大阪府徴税対策課,,大阪府
警察本部,
