   市町村の主要指標,,,,,,,,,,,,,,,,,,,,,
市 　町　 村,面積,世帯数,人口(2020.10.1),,,人口増減数(2019.10～2020.9),,人口割合（2015.10.1),,民営事業所(2016.6.1),,製造品出荷額等,年間商品販売額,総農家数,経営耕地面積,新設住宅着工戸数,自動車保有車両総数,普通会計歳出決算額,個人住民税負担額,交通事故発生件数,刑法犯認知件数
,(2020.10.1),(2020.10.1),総数,男性,女性,自然増減,社会増減,15歳未満,65歳以上,事業所数,従業者数,(2018年),(2015年),(2015.2.1),(2015.2.1),(2019年),(2019年度）,(2019年度）,（2019年度）,（2019年）,（2019年）
,㎢,世帯,人,人,人 ,人 ,人 ,％ ,％ ,所 ,人 ,百万円,,戸 ,ha ,戸 ,台,,,件 ,件 
総数,1905,4129379,8817372,4231251,4586121,-28274,22193,13,26,392940,4393139,17561489,55693043,23983,8456,70002,3530482,4198245777,849380539,30914,84672
大阪市,225,1458859,2750995,1327248,1423747,-9414,20207,11,25,179252,2209412,3821260,41563672,376,105,31362,819817,1756789204,267133892,10501,41349
堺市,150,362149,825276,394303,430973,-2816,121,14,27,28733,314806,3631640,1754618,2566,793,4757,390599,415724995,75731004,3121,6691
岸和田市,73,77713,188554,89843,98711,-806,-451,14,26,7230,62794,247320,315188,1222,465,1103,107560,74604907,15339540,775,1826
豊中市,36,179018,401679,189659,212020,-269,1619,14,25,13044,127496,314164,1087565,275,89,2966,135816,146338700,52643035,998,2325
池田市,22,48354,104149,49761,54388,-278,258,13,26,3647,38172,822215,148651,292,110,996,39732,40341526,11972832,296,588
吹田市,36,178399,384403,184654,199749,64,2510,14,23,11526,144593,271309,1919875,172,61,3853,123157,135536180,47157253,893,2113
泉大津市,14,32241,74336,35222,39114,-157,-73,14,24,3269,29108,158387,358216,134,29,543,36397,27745931,6357336,390,634
高槻市,105,152254,347738,165763,181975,-791,282,13,28,9320,102933,448004,555036,1343,429,2714,130204,114889040,34743600,815,1869
貝塚市,44,34071,84860,40766,44094,-345,-655,15,25,3295,29170,267043,150626,681,264,298,50155,32938697,6860148,348,675
守口市,13,67978,142162,68350,73812,-616,516,11,29,6127,53891,138090,262998,79,30,1159,50768,61030830,12020343,541,1228
枚方市,65,172918,397604,188844,208760,-1325,-268,13,27,10074,120556,849032,503476,1224,411,2289,163101,135493533,38080104,1192,1943
茨木市,76,123202,283928,136836,147092,-86,1190,15,23,9279,102324,322748,1120555,1239,450,2881,114717,90516803,30557620,906,1700
八尾市,42,114885,265246,126126,139120,-1069,-71,13,27,11940,110440,1174776,633927,975,275,1389,116701,100525222,23692401,719,2150
泉佐野市,57,44053,99620,47491,52129,-414,-205,13,25,4694,53093,267871,319357,1029,488,735,61764,93984764,8254768,518,1044
富田林市,40,46928,108986,51108,57878,-620,-526,12,27,3304,33193,148705,97771,1202,397,365,58749,43803474,10258260,444,630
寝屋川市,25,103551,228662,110305,118357,-921,-391,11,29,7096,69396,184111,387457,450,160,1098,91284,87296110,19093449,1007,1762
河内長野市,110,42395,100789,46870,53919,-730,-583,11,31,2701,25566,111212,108867,844,238,385,55427,35144580,9125488,275,407
松原市,17,51978,117624,56562,61062,-581,-135,12,29,4607,39255,146666,196391,562,143,585,53604,45699867,9110327,550,1025
大東市,18,53582,119354,58076,61278,-353,-279,13,26,4606,51173,326390,202777,176,52,613,51934,46531052,9821568,356,1156
和泉市,85,75136,184574,88863,95711,-396,-238,15,23,5887,56223,191378,305688,1107,396,1086,101228,63885904,16137705,655,1375
箕面市,48,59679,136571,65251,71320,-133,520,14,26,4215,41537,25408,368928,473,160,741,58454,63653150,17441449,310,689
柏原市,25,29659,67953,32507,35446,-302,-145,12,26,2268,23782,286781,92121,256,91,375,29875,25491793,5905645,242,359
羽曳野市,26,45515,108739,51138,57601,-572,-242,13,28,3638,33235,137933,131936,691,244,591,55044,39408980,8854403,314,573
門真市,12,57566,118665,58028,60637,-670,-357,12,28,5462,65823,338133,285065,162,55,1056,53109,55493375,9341989,535,1330
摂津市,15,39426,86282,42759,43523,-13,291,13,24,4082,50781,376081,421729,182,58,586,47957,33302166,7701357,360,702
高石市,11,23424,56076,26487,29589,-173,-71,13,27,2036,18889,792081,52194,118,27,303,26706,25417051,5401326,255,438
藤井寺市,9,27894,63471,29818,33653,-247,-96,13,27,2665,19539,44167,89058,194,42,246,27668,23929170,5846137,192,437
東大阪市,62,232339,492488,240597,251891,-2355,203,12,28,24644,231607,1200871,1797420,556,141,2685,214541,204202055,43736682,2040,4742
泉南市,49,23387,59855,28589,31266,-291,-289,14,27,2128,23101,93900,85399,617,256,200,36128,23307448,4017132,207,507
四條畷市　,19,22876,55253,26824,28429,-151,-23,14,26,1862,15197,27790,49978,192,73,469,24631,19448028,4785348,166,404
交野市,26,30475,76163,36479,39684,-156,219,14,26,1934,17038,102244,65231,449,150,453,35420,24948630,7381500,270,347
大阪狭山市,12,24287,58738,27493,31245,-35,27,14,27,1835,20425,55983,66403,320,110,284,28905,19836049,5951223,225,299
阪南市,36,20974,51060,24208,26852,-335,-352,13,29,1506,11165,30026,31123,410,116,152,31095,17811173,4070173,108,300
島本町,17,12939,31185,14810,16375,-28,416,15,26,610,6926,49342,31487,141,41,112,10472,11145893,2984604,36,108
豊能町,34,7739,18130,8602,9528,-184,-127,8,39,311,1986,2195,6172,321,174,23,11272,6934525,1736563,17,61
能勢町,99,3672,9022,4328,4694,-121,-46,8,35,365,3224,8130,6589,996,655,9,9761,6088857,655816,26,33
忠岡町,4,6968,16685,7976,8709,-103,-52,14,27,580,5962,59662,28176,68,18,118,10581,6641016,1258498,69,127
熊取町,17,17181,43667,21278,22389,-120,-97,14,26,1239,9930,36744,26328,334,127,253,25069,14463519,3777562,129,261
田尻町,6,3892,8527,4287,4240,-12,3,15,23,386,6422,7825,36050,72,22,58,5065,5441515,661369,21,139
岬町,49,6251,14690,6826,7864,-173,-322,10,36,452,3597,7351,6588,163,40,32,9883,7468300,1089429,21,85
太子町,14,5227,13143,6401,6742,-37,-33,14,26,402,2766,11212,6045,318,115,32,9199,5199109,1105866,33,52
河南町,25,6364,15626,7618,8008,-72,-53,12,29,491,4787,10596,9797,709,256,42,12177,6445461,1246439,31,57
千早赤阪村,37,1981,4844,2297,2547,-68,-9,9,41,198,1826,14719,6519,293,101,5,4651,3347195,339356,7,22
資料出所,国土地理院,大阪府統計課,,,,,,,,総務省
経済産業省,,大阪府統計課,総務省
経済産業省,,,国土交通省,(一財)自動車
検査登録情報協会,大阪府市町村課
大阪府徴税対策課,,大阪府
警察本部,
