市  町  村,面積,世帯数,人口(2022.10.1),,,人口増減数(2021.10.1～2022.9.30),,人口密度(１K㎡当たり),人口割合（2020.10.1),,民営事業所(2016.6.1),,製造品出荷額等,年間商品販売額,総農家数,経営耕地面積,自動車保有車両総数,普通会計歳出決算額,個人住民税負担額,交通事故発生件数,刑法犯認知件数
,(2022.10.1),(2022.10.1),総数,男性,女性,自然増減,社会増減,(2022.10.1),15歳未満,65歳以上,事業所数,従業者数,(2020年),(2015年),(2020.2.1),(2020.2.1),(2021年度),,,(2021年),
,㎢,世帯,人,,,,,人/k㎡,％,,所,人,百万円,,戸,ha,台,,,件,
総数,1905,4209056,8787414,4204012,4583402,-45989,26124,4612,12,28,392940,4393139,16938356,55693043,20813,7211,3549966,4757281422,854909344,25388,62690
大阪市,225,1506249,2756807,1326742,1430065,-15290,21262,12235,11,26,179252,2209412,3574713,41563672,348,94,825558,1962155183,275819537,8554,30764
堺市,150,369876,816559,388519,428040,-4439,-600,5450,12,29,28733,314806,3478169,1754618,2172,677,391272,461227663,76111274,2541,4875
岸和田市,73,79856,187283,88758,98525,-1211,-321,2575,12,29,7230,62794,242189,315188,1094,393,108063,85320446,15292548,567,1299
豊中市,36,178693,399790,187832,211958,-1287,15,10986,14,26,13044,127496,312701,1087565,238,86,136989,176619691,51700788,870,1614
池田市,22,49256,104717,49660,55057,-319,171,4730,12,27,3647,38172,810877,148651,240,89,39691,42864482,11510936,261,431
吹田市,36,186240,391069,187421,203648,-520,3059,10836,14,24,11526,144593,267122,1919875,148,53,123785,151237056,48979390,770,1486
泉大津市,14,32837,73375,34759,38616,-299,-287,5120,12,26,3269,29108,150471,358216,125,28,36740,34708413,6335637,368,484
高槻市,105,154598,350222,166556,183666,-1636,-198,3326,12,30,9320,102933,437971,555036,1213,384,130231,145995891,34632821,618,1478
貝塚市,44,33485,82395,39490,42905,-544,-296,1876,13,28,3295,29170,254239,150626,606,248,49936,42894217,6789962,299,442
守口市,13,68194,141563,68338,73225,-829,11,11138,11,29,6127,53891,139897,262998,67,25,51050,71534127,12202832,469,964
枚方市,65,174928,394320,186371,207949,-1902,967,6055,12,30,10074,120556,771342,503476,1055,340,163873,162745824,37597643,1090,1447
茨木市,76,128126,289030,138909,150121,-461,1742,3779,14,25,9279,102324,295092,1120555,1102,392,115513,110093054,30658014,742,1367
八尾市,42,115493,261584,124040,137544,-1573,-88,6270,12,29,11940,110440,1124562,633927,859,233,117955,121856292,23512839,651,1683
泉佐野市,57,44468,98916,47301,51615,-564,258,1750,11,26,4694,53093,267230,319357,843,377,61795,70068150,8212936,433,610
富田林市,40,46255,106973,49967,57006,-753,29,2693,11,30,3304,33193,154659,97771,1094,361,58701,47591131,10078232,288,411
寝屋川市,25,102854,226952,109194,117758,-1447,266,9188,11,31,7096,69396,180019,387457,378,133,94137,103209266,18929884,852,1354
河内長野市,110,42395,98932,46082,52850,-918,-504,902,10,36,2701,25566,112302,108867,788,225,54799,40448230,8667568,260,304
松原市,17,52670,115728,55486,60242,-897,-21,6946,11,31,4607,39255,149073,196391,448,110,53986,49877058,9111549,380,799
大東市,18,53122,117237,56815,60422,-567,-545,6417,12,27,4606,51173,396803,202777,149,39,51602,52567840,9722429,269,807
和泉市,85,74890,183148,87918,95230,-695,-36,2155,14,26,5887,56223,196395,305688,1006,371,102892,75426109,16221162,622,1066
箕面市,48,59114,137315,65280,72035,-473,370,2867,15,26,4215,41537,25861,368928,415,133,59607,77209335,17303145,267,545
柏原市,25,30402,67684,32328,35356,-456,-134,2672,11,29,2268,23782,289579,92121,218,87,29761,29562106,5764869,133,246
羽曳野市,26,45833,107557,50455,57102,-768,394,4066,11,31,3638,33235,134429,131936,563,190,55372,45315757,8724000,281,482
門真市,12,57714,117221,57488,59733,-1055,-398,9530,10,30,5462,65823,312113,285065,123,40,52937,62397626,9196781,433,1076
摂津市,15,40825,87143,42763,44380,-205,27,5860,12,26,4082,50781,382065,421729,161,48,48823,44750128,7970853,290,534
高石市,11,23452,55126,25999,29127,-280,182,4878,13,29,2036,18889,748279,52194,104,24,26733,27306762,5374443,184,338
藤井寺市,9,28203,62893,29551,33342,-383,103,7075,12,29,2665,19539,45026,89058,173,35,27679,26006336,5741165,155,291
東大阪市,62,235588,487999,237098,250901,-3381,1207,7899,11,29,24644,231607,1165490,1797420,532,134,215318,229635436,42084901,1602,3410
泉南市,49,23311,58717,28029,30688,-333,-329,1199,13,30,2128,23101,93473,85399,502,218,36382,26577405,3854974,156,314
四條畷市　,19,22669,54493,26370,28123,-284,53,2916,13,28,1862,15197,28497,49978,170,62,24860,22950914,4868121,122,376
交野市,26,30202,74809,35546,39263,-297,340,2928,13,29,1934,17038,101865,65231,374,117,35918,31093828,7347288,283,240
大阪狭山市,12,24500,58023,27067,30956,-203,51,4868,14,29,1835,20425,60612,66403,277,89,29224,22365988,6085093,163,226
阪南市,36,20731,49667,23440,26227,-443,-345,1373,11,33,1506,11165,29713,31123,347,99,30976,21119573,3949798,98,199
島本町,17,12996,30802,14498,16304,-81,-112,1832,15,28,610,6926,56298,31487,117,36,10674,13661952,3097260,26,67
豊能町,34,7619,17745,8419,9326,-217,-62,517,7,47,311,1986,1841,6172,283,144,11113,7843760,1609229,12,20
能勢町,99,3631,8670,4156,4514,-160,-49,88,7,42,365,3224,8548,6589,870,570,9548,5865440,630330,9,34
忠岡町,4,6837,16332,7842,8490,-127,21,4114,12,29,580,5962,57941,28176,58,15,10612,7496811,1263259,61,109
熊取町,17,17604,43379,21110,22269,-195,88,2516,13,29,1239,9930,26808,26328,290,103,25099,17355711,3630340,103,146
田尻町,6,3633,8207,3988,4219,-17,-28,1460,14,24,386,6422,7866,36050,69,23,4997,6097947,649082,19,47
岬町,49,6235,14277,6598,7679,-209,-50,290,8,41,452,3597,8018,6588,124,31,9806,7845986,1072938,22,64
太子町,14,5088,12704,6168,6536,-86,-47,897,12,30,402,2766,12179,6045,232,82,9211,6272491,1082708,32,30
河南町,25,6463,15335,7440,7895,-121,-3,607,11,32,491,4787,10253,9797,603,198,12090,6766335,1200013,28,47
千早赤阪村,37,1921,4716,2221,2495,-64,-39,126,8,46,198,1826,15777,6519,235,78,4549,3343672,320773,5,13
資料,国土地理院,大阪府統計課,,,,,,,総務省
統計局,,総務省
経済産業省,,大阪府統計課,経済産業省,大阪府統計課,,(一財)自動車検査登録情報協会,大阪府市町村局
大阪府徴税対策課,,大阪府警察本部,
