市町村名,,人口,人口,人口,人口,世帯数,世帯数,世帯数
,,男,男,女,女,世帯数,世帯数,世帯数
,,日本人,外国人,日本人,外国人,日本人,外国人,複数国籍
大阪市,都島区,48167,1298,51866,1393,51078,1505,519
大阪市,福島区,33163,563,36766,705,37011,665,303
大阪市,此花区,32568,735,33662,851,32716,757,369
大阪市,西区,41657,1668,46048,1900,49899,2217,677
大阪市,港区,39325,1230,40572,1211,41260,1344,449
大阪市,大正区,32586,620,33332,638,32436,634,309
大阪市,天王寺区,32341,1817,37202,2250,34749,2083,764
大阪市,浪速区,29884,3279,27840,3719,39336,4624,971
大阪市,西淀川区,46692,1530,47254,1627,45079,1559,559
大阪市,東淀川区,81910,2922,83343,3106,89649,3656,938
大阪市,東成区,35880,3100,38405,3578,38047,3388,985
大阪市,生野区,48910,13080,51419,14495,50835,14367,2915
大阪市,旭区,42917,998,46194,1024,45529,1176,369
大阪市,城東区,78231,2305,84860,2537,79685,2662,915
大阪市,阿倍野区,48955,1244,56751,1212,50913,1399,523
大阪市,住吉区,70777,1727,79585,1846,75749,1853,750
大阪市,東住吉区,61148,1465,66611,1555,63734,1528,701
大阪市,西成区,59745,3772,42193,3382,66274,4495,955
大阪市,淀川区,83141,2554,84404,2951,92412,3142,1074
大阪市,鶴見区,53353,897,57726,1007,48429,807,518
大阪市,住之江区,58523,1398,62299,1660,59376,1458,738
大阪市,平野区,91952,3803,99967,3992,90620,3700,1465
大阪市,北区,54833,2056,58614,2383,68532,2537,862
大阪市,中央区,41261,3055,46179,4406,54447,4572,1325
堺市,堺区,70199,1730,72688,2064,71603,2090,727
堺市,中区,60421,614,63481,645,53420,605,351
堺市,東区,41268,287,45211,293,37733,268,175
堺市,西区,66390,772,70663,776,60511,768,382
堺市,南区,69081,1335,78180,1334,64773,981,539
堺市,北区,74992,878,81901,1047,71538,946,493
堺市,美原区,18928,469,20077,236,16027,505,108
岸和田市,,94844,982,102390,998,84547,1036,417
豊中市,,189979,2251,208216,2584,182290,2443,1140
池田市,,48696,615,52590,770,45351,822,302
吹田市,,174460,2153,187948,2507,162666,2502,1022
泉大津市,,35942,523,38755,690,32767,610,282
高槻市,,168859,1297,183452,1601,155802,1327,788
貝塚市,,42711,288,45869,344,36790,279,190
守口市,,69340,1100,72914,1261,68511,1122,599
枚方市,,193886,1822,208337,2088,173818,1870,957
茨木市,,134565,1262,142099,1469,119718,1375,659
八尾市,,125906,3231,136270,3558,117380,3136,1156
泉佐野市,,48255,530,51530,720,44119,740,261
富田林市,,54027,512,59918,462,49495,519,229
寝屋川市,,114884,1309,121462,1453,106818,1302,742
河内長野市,,51764,239,57296,246,46908,220,176
松原市,,58189,592,62502,679,54089,588,362
大東市,,59195,1320,61557,1325,53743,1464,422
和泉市,,89672,986,95115,1060,74712,1011,504
箕面市,,63796,1176,69320,1295,57523,1931,435
柏原市,,33745,539,36507,553,30201,678,168
羽曳野市,,54057,392,59253,444,48808,388,263
門真市,,60699,1226,62022,1462,59466,1240,523
摂津市,,42140,576,42187,574,38792,585,265
高石市,,27644,215,30030,239,24704,224,131
藤井寺市,,31244,262,34327,285,28353,246,185
東大阪市,,234387,7982,245546,8744,222643,8416,2786
泉南市,,30622,238,32538,329,25336,265,156
四條畷市,,27477,248,28350,257,23254,245,155
交野市,,37521,197,40052,245,31299,174,143
大阪狭山市,,27361,156,30165,172,24495,145,109
阪南市,,26864,145,29328,138,23745,100,122
三島郡,島本町,14521,78,15985,94,12677,60,68
豊能郡,豊能町,9915,42,10861,46,8612,33,39
豊能郡,能勢町,5239,34,5592,28,4562,37,19
泉北郡,忠岡町,8244,239,8781,262,7261,285,73
泉南郡,熊取町,21308,101,22616,93,17382,88,82
泉南郡,田尻町,4270,54,4226,56,3960,78,23
泉南郡,岬町,7694,44,8693,57,7527,50,38
南河内郡,太子町,6781,40,6990,35,5351,32,28
南河内郡,河南町,7684,38,8101,34,6331,36,23
南河内郡,千早赤阪村,2662,12,2934,11,2328,10,9
