大阪府の住民基本台帳人口（平成29年1月1日現在）,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
市町村名,,人口,人口,人口,人口,世帯数,世帯数,世帯数
,,男,男,女,女,世帯数,世帯数,世帯数
,,日本人,外国人,日本人,外国人,日本人,外国人,複数国籍
大阪市,都島区,48602,1448,52401,1453,52106,1671,532
大阪市,福島区,33628,581,37231,736,37800,707,302
大阪市,此花区,32382,831,33520,904,32826,886,380
大阪市,西区,42858,1845,47520,2112,51507,2471,722
大阪市,港区,39036,1293,40215,1247,41263,1435,453
大阪市,大正区,32368,657,33060,655,32535,682,304
大阪市,天王寺区,32802,1876,37856,2334,35228,2244,759
大阪市,浪速区,30036,3609,28005,4018,39789,5177,968
大阪市,西淀川区,46597,1642,47192,1701,45445,1732,557
大阪市,東淀川区,81669,3036,83170,3162,90567,3886,920
大阪市,東成区,35985,3207,38528,3678,38593,3666,1000
大阪市,生野区,48696,13101,51283,14571,51129,14848,2929
大阪市,旭区,42620,1052,46106,1082,45683,1280,377
大阪市,城東区,78355,2363,85144,2700,80433,2847,928
大阪市,阿倍野区,49067,1292,56777,1348,51175,1566,541
大阪市,住吉区,70581,1799,79234,1967,75899,1956,777
大阪市,東住吉区,60865,1567,66561,1680,63980,1735,706
大阪市,西成区,58767,4101,41580,3629,65590,5072,968
大阪市,淀川区,83903,2752,84995,3066,93996,3440,1090
大阪市,鶴見区,53429,919,57822,1003,48855,830,527
大阪市,住之江区,58048,1499,61984,1725,59765,1579,732
大阪市,平野区,91381,3831,99472,4052,91205,3808,1479
大阪市,北区,55652,2245,59698,2473,69751,2718,900
大阪市,中央区,42061,3107,47240,4494,55713,4716,1321
堺市,堺区,70085,1816,72537,2173,72138,2250,754
堺市,中区,60314,642,63410,661,53743,641,368
堺市,東区,41189,314,45179,309,38046,302,176
堺市,西区,66455,799,70962,803,61109,796,389
堺市,南区,67998,1347,77072,1327,64435,1000,524
堺市,北区,75091,858,82222,1024,71995,929,498
堺市,美原区,18785,472,19962,224,16084,479,112
岸和田市,,94096,1056,101819,1046,84857,1150,417
豊中市,,190098,2406,208839,2648,183698,2605,1170
池田市,,48812,716,52758,791,46017,908,313
吹田市,,175559,2287,189379,2673,164701,2743,1044
泉大津市,,35728,530,38630,689,32904,632,277
高槻市,,168219,1322,183050,1625,156615,1386,793
貝塚市,,42470,333,45639,371,36996,338,199
守口市,,69048,1085,72572,1278,68865,1141,593
枚方市,,193134,1886,207814,2129,174822,1946,967
茨木市,,134898,1354,142782,1567,120957,1508,682
八尾市,,125506,3337,136056,3558,118224,3266,1164
泉佐野市,,48062,630,51322,799,44504,869,270
富田林市,,53516,554,59418,464,49679,548,239
寝屋川市,,113955,1341,120710,1435,107073,1354,721
河内長野市,,51162,269,56792,265,46978,238,187
松原市,,57845,665,62262,695,54454,645,374
大東市,,58579,1416,61109,1357,53751,1564,441
和泉市,,89614,1005,95032,1114,75436,1093,507
箕面市,,64294,1233,69918,1320,58220,2011,453
柏原市,,33455,562,36126,555,30249,696,182
羽曳野市,,53659,410,58828,435,48982,408,258
門真市,,60247,1325,61632,1473,59771,1335,526
摂津市,,41974,626,42240,594,38733,639,265
高石市,,27588,232,30079,263,24901,245,134
藤井寺市,,31045,271,34137,291,28423,264,180
東大阪市,,232730,8129,244229,8834,223320,8777,2797
泉南市,,30417,249,32329,316,25480,271,157
四條畷市,,27253,240,28277,251,23759,238,148
交野市,,37369,209,40053,245,31555,182,145
大阪狭山市,,27413,156,30281,188,24770,145,107
阪南市,,26585,149,29056,146,23883,113,122
三島郡,島本町,14499,76,15991,101,12763,58,72
豊能郡,豊能町,9719,39,10643,56,8579,33,47
豊能郡,能勢町,5106,38,5443,30,4522,40,20
泉北郡,忠岡町,8195,244,8729,259,7291,295,68
泉南郡,熊取町,21307,98,22532,97,17508,82,84
泉南郡,田尻町,4232,50,4241,65,3936,83,24
泉南郡,岬町,7611,43,8544,61,7511,53,36
南河内郡,太子町,6729,49,6919,33,5379,44,28
南河内郡,河南町,7627,45,8097,41,6367,45,23
南河内郡,千早赤阪村,2596,13,2879,9,2334,10,8
