,,人口,人口,人口,人口,世帯数,世帯数,世帯数
,,男,男,女,女,世帯数,世帯数,世帯数
,,日本人,外国人,日本人,外国人,日本人,外国人,複数国籍
大阪市,都島区,48824,1551,52896,1583,53510,1904,551
大阪市,福島区,34877,691,38413,770,39699,799,345
大阪市,此花区,31917,981,33109,1057,33088,1169,391
大阪市,西区,44474,2223,49957,2412,54553,2979,784
大阪市,港区,38465,1502,39886,1448,41513,1812,453
大阪市,大正区,31623,805,32512,751,32646,892,294
大阪市,天王寺区,33430,2097,38647,2585,36137,2579,779
大阪市,浪速区,30207,4172,28392,4644,40656,6140,973
大阪市,西淀川区,46305,2037,47325,1843,46325,2255,566
大阪市,東淀川区,81429,3411,83196,3575,92211,4656,942
大阪市,東成区,36513,3458,39576,3883,40532,4304,989
大阪市,生野区,48397,13246,51211,14561,52076,15818,2885
大阪市,旭区,42310,1091,45956,1168,46283,1363,396
大阪市,城東区,78770,2526,85884,2806,82212,3130,936
大阪市,阿倍野区,49311,1456,57203,1581,51836,1909,542
大阪市,住吉区,69900,2123,78926,2242,76617,2503,787
大阪市,東住吉区,60417,1668,66533,1833,64850,1960,737
大阪市,西成区,57382,4750,40499,4300,64954,6316,968
大阪市,淀川区,84913,3297,85932,3504,96674,4288,1118
大阪市,鶴見区,53114,961,57910,1041,49462,902,550
大阪市,住之江区,57234,1720,61356,1916,60255,1947,746
大阪市,平野区,90027,4090,98525,4224,92353,4326,1452
大阪市,北区,58909,2589,62969,2879,73900,3248,962
大阪市,中央区,42994,3539,48462,4877,57182,5393,1355
堺市,堺区,69573,2199,72177,2480,72831,2864,772
堺市,中区,59493,721,62741,734,54175,778,375
堺市,東区,40886,398,44910,353,38644,404,191
堺市,西区,66013,926,70721,834,61801,965,394
堺市,南区,66029,1444,75305,1335,63887,1122,515
堺市,北区,75075,925,82546,1074,73116,1017,510
堺市,美原区,18463,468,19699,251,16206,503,113
岸和田市,,92624,1190,100438,1098,85381,1374,418
豊中市,,190652,2745,210349,2847,186258,2995,1259
池田市,,48797,1032,52925,901,47124,1501,332
吹田市,,175708,2582,190573,2852,167351,3189,1053
泉大津市,,35200,579,38356,689,33173,703,289
高槻市,,167227,1439,182178,1652,157622,1535,799
貝塚市,,41605,414,44540,415,36953,467,182
守口市,,68639,1140,72341,1338,69782,1242,589
枚方市,,191365,2182,206840,2192,176772,2280,991
茨木市,,135167,1593,143467,1791,122754,1907,718
八尾市,,124226,3685,135334,3698,119476,3665,1215
泉佐野市,,47587,856,51180,1079,45211,1304,276
富田林市,,52363,681,58314,540,49936,746,229
寝屋川市,,111684,1400,118922,1478,107339,1477,729
河内長野市,,49777,303,55573,271,46929,266,198
松原市,,57137,791,61642,751,55078,800,393
大東市,,57690,1460,60260,1349,54294,1595,452
和泉市,,88983,1178,94711,1188,76739,1344,515
箕面市,,64780,1354,70757,1477,58760,1844,440
柏原市,,32732,707,35456,634,30342,863,202
羽曳野市,,52864,441,58110,540,49163,541,272
門真市,,58902,1470,60730,1554,60196,1565,538
摂津市,,42007,748,42487,613,39477,788,278
高石市,,27396,270,29940,269,25175,279,136
藤井寺市,,30565,321,33670,360,28575,376,185
東大阪市,,229854,8781,242392,9190,225660,9870,2803
泉南市,,29733,377,31757,353,25588,414,161
四條畷市,,27040,271,28201,290,23828,292,159
交野市,,37374,238,40026,263,32179,215,155
大阪狭山市,,27578,183,30581,205,25199,193,112
阪南市,,25881,191,28300,162,23930,154,124
三島郡,島本町,14557,83,16141,110,13005,69,85
豊能郡,豊能町,9363,37,10243,51,8565,26,47
豊能郡,能勢町,4845,47,5185,37,4472,51,23
泉北郡,忠岡町,8019,251,8634,262,7328,312,68
泉南郡,熊取町,21115,167,22375,116,17733,162,84
泉南郡,田尻町,4315,71,4344,79,4065,108,27
泉南郡,岬町,7387,83,8252,103,7422,130,38
南河内郡,太子町,6554,60,6801,29,5382,57,25
南河内郡,河南町,7549,74,7968,44,6458,80,19
南河内郡,千早赤阪村,2497,14,2742,9,2273,11,6
