大阪府の住民基本台帳人口（令和５年１月１日現在）,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,人口,人口,人口,人口,世帯数,世帯数,世帯数
,,男,男,女,女,世帯数,世帯数,世帯数
,,日本人,外国人,日本人,外国人,日本人,外国人,複数国籍
大阪市,都島区,48673,1793,53113,1764,56143,2237,560
大阪市,福島区,36737,832,40636,994,43021,1011,382
大阪市,此花区,30775,1200,32135,1159,33332,1446,397
大阪市,西区,47206,2604,53612,2522,61262,3403,778
大阪市,港区,36994,1680,38754,1819,42008,2233,473
大阪市,大正区,29711,1078,30844,870,32287,1198,301
大阪市,天王寺区,35211,2363,41254,2745,39565,2754,816
大阪市,浪速区,32656,5083,30881,5174,46614,7391,907
大阪市,西淀川区,45317,2650,47035,2335,48452,3150,565
大阪市,東淀川区,80829,3734,82918,3677,95898,5039,955
大阪市,東成区,36559,3529,41013,3884,43773,4597,942
大阪市,生野区,47649,13310,50809,14170,54275,16526,2823
大阪市,旭区,41549,1225,45391,1228,47222,1532,409
大阪市,城東区,78368,2500,86230,2730,85107,3021,1009
大阪市,阿倍野区,49780,1850,57923,1935,53934,2209,648
大阪市,住吉区,68537,2330,78178,2455,78431,2805,845
大阪市,東住吉区,60430,2128,66712,2170,67580,2545,774
大阪市,西成区,54517,6169,38573,5616,63682,8452,1009
大阪市,淀川区,86292,3841,86934,4130,101873,5331,1106
大阪市,鶴見区,52319,1016,57750,1092,51129,1033,558
大阪市,住之江区,54726,2305,58561,2399,60437,2776,774
大阪市,平野区,86035,4321,95635,4375,93912,4871,1444
大阪市,北区,63307,2998,67202,3130,81055,3633,1025
大阪市,中央区,48255,4370,54502,5278,66188,6409,1312
堺市,堺区,69232,2834,72057,2663,75316,3587,788
堺市,中区,57448,855,61080,840,55152,995,347
堺市,東区,40532,559,44503,533,39540,682,197
堺市,西区,64435,1184,69588,929,62922,1256,416
堺市,南区,61726,1575,71643,1488,62889,1363,496
堺市,北区,73699,1046,82279,1152,74957,1212,518
堺市,美原区,17677,588,18928,355,16421,697,109
岸和田市,,89001,1855,97211,1329,86714,2179,408
豊中市,,190315,3314,210721,3345,191429,3642,1394
池田市,,48064,1087,52866,1057,47935,1234,337
吹田市,,178995,3083,195971,3267,176911,3720,1192
泉大津市,,34227,730,37538,787,33944,884,295
高槻市,,164399,1844,180291,1996,160919,2204,841
貝塚市,,39435,684,42425,612,37061,891,199
守口市,,67553,1323,71698,1440,72054,1505,611
枚方市,,187110,2635,203872,2635,180620,3059,1012
茨木市,,135499,1970,145283,2169,128211,2569,774
八尾市,,120940,4065,133002,3991,121811,4197,1232
泉佐野市,,46313,1023,50108,1101,46597,1374,291
富田林市,,49882,1089,56243,891,50476,1343,255
寝屋川市,,108076,1665,116191,1612,109576,1880,730
河内長野市,,46879,482,52747,376,46822,483,214
松原市,,55112,1114,59809,931,56290,1203,398
大東市,,55552,1562,58757,1423,55475,1756,458
和泉市,,87159,1573,93642,1387,79183,1784,522
箕面市,,65124,1476,71034,1494,60541,1951,506
柏原市,,31347,909,34215,755,30902,1135,200
羽曳野市,,51085,703,56502,671,50249,866,273
門真市,,56199,1835,58244,1659,60770,1979,520
摂津市,,41787,915,43004,751,41136,1063,273
高石市,,26862,273,29532,325,25840,289,164
藤井寺市,,29648,494,32759,435,29198,577,181
東大阪市,,223721,9687,237038,9691,231757,11341,2763
泉南市,,28304,497,30415,419,25769,552,189
四條畷市,,26336,346,27792,291,24388,350,176
交野市,,36895,327,39844,297,33267,312,172
大阪狭山市,,27153,251,30611,277,25863,327,116
阪南市,,24315,257,26796,211,23787,245,126
三島郡,島本町,14838,125,16549,134,13701,125,86
豊能郡,豊能町,8791,59,9597,79,8584,58,59
豊能郡,能勢町,4434,56,4731,46,4451,69,24
泉北郡,忠岡町,7777,278,8361,259,7520,359,63
泉南郡,熊取町,20614,213,22039,147,18309,209,97
泉南郡,田尻町,4143,64,4220,71,3981,84,31
泉南郡,岬町,6863,111,7712,107,7254,153,49
南河内郡,太子町,6260,82,6572,45,5498,87,27
南河内郡,河南町,7236,86,7596,77,6544,116,25
南河内郡,千早赤阪村,2300,13,2568,12,2249,11,10
