コード,県,ブロック,郡市,区町村,国籍区分,性別,年齢区分,内容,期間,増減数,出生,死亡,転入（県内）,転入（北海道・東北）,転入（北関東）,転入（南関東）,転入（北陸・東山）,転入（東海）,転入（近畿）,転入（中国）,転入（四国）,転入（九州）,転入（国外）,転入（不詳）,転出（県内）,転出（北海道・東北）,転出（北関東）,転出（南関東）,転出（北陸・東山）,転出（東海）,転出（近畿）,転出（中国）,転出（四国）,転出（九州）,転出（国外）,転出（不詳）,その他の増減,
23000,愛知県,―,―,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-3647,4096,-8468,14872,362,236,1854,544,2485,1238,347,155,657,5245,3,-15268,-341,-245,-2517,-430,-2497,-1356,-261,-93,-743,-3291,-10,-221,
23100,愛知県,名古屋,名古屋市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-804,1312,-2710,6508,128,61,923,191,899,471,113,59,243,1716,-,-6314,-142,-63,-1238,-173,-889,-596,-89,-34,-303,-790,-,-87,
23101,愛知県,名古屋,名古屋市,千種区,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-32,77,-172,466,12,7,97,20,63,45,6,4,25,90,-,-398,-19,-1,-127,-12,-62,-46,-8,-4,-11,-71,-,-13,
23102,愛知県,名古屋,名古屋市,東区,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,55,56,-79,339,8,5,70,7,43,26,8,4,11,65,-,-291,-9,-4,-78,-5,-29,-25,-8,-,-21,-35,-,-3,
23103,愛知県,名古屋,名古屋市,北区,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-35,88,-207,446,9,2,50,6,72,34,7,4,25,92,-,-407,-2,-2,-61,-4,-71,-44,-5,-2,-22,-47,-,4,
23104,愛知県,名古屋,名古屋市,西区,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-34,79,-183,407,9,2,75,5,62,29,6,5,13,61,-,-364,-6,-3,-74,-13,-40,-45,-3,-2,-12,-33,-,-9,
23105,愛知県,名古屋,名古屋市,中村区,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-110,80,-177,483,10,9,90,12,77,42,7,3,17,169,-,-507,-10,-5,-130,-20,-87,-54,-5,-4,-32,-69,-,-9,
23106,愛知県,名古屋,名古屋市,中区,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,215,72,-92,598,11,9,109,21,116,61,11,3,27,190,-,-505,-10,-6,-148,-18,-78,-65,-11,-2,-28,-43,-,-7,
23107,愛知県,名古屋,名古屋市,昭和区,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-77,64,-119,290,6,3,38,12,41,11,8,3,8,142,-,-349,-12,-3,-77,-6,-42,-26,-4,-,-8,-51,-,-6,
23108,愛知県,名古屋,名古屋市,瑞穂区,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-82,68,-120,269,1,1,36,6,23,23,4,1,12,33,-,-268,-6,-4,-52,-11,-28,-27,-5,-1,-18,-21,-,2,
23109,愛知県,名古屋,名古屋市,熱田区,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-53,34,-92,237,1,3,27,3,23,10,5,-,4,43,-,-232,-7,-,-36,-6,-21,-20,-2,-1,-12,-16,-,2,
