コード,県,ブロック,郡市,区町村,国籍区分,性別,年齢区分,内容,期間,増減数,出生,死亡,転入（県内）,転入（北海道・東北）,転入（北関東）,転入（南関東）,転入（北陸・東山）,転入（東海）,転入（近畿）,転入（中国）,転入（四国）,転入（九州）,転入（国外）,転入（不詳）,転出（県内）,転出（北海道・東北）,転出（北関東）,転出（南関東）,転出（北陸・東山）,転出（東海）,転出（近畿）,転出（中国）,転出（四国）,転出（九州）,転出（国外）,転出（不詳）,その他の増減
23000,愛知県,―,―,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-1373,4377,-7623,14564,337,223,1710,490,2336,1222,259,107,565,5068,166,-15205,-342,-262,-2159,-438,-2386,-1215,-318,-128,-685,-1552,-4,-480
23100,愛知県,名古屋,名古屋市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-879,1411,-2595,6053,119,69,800,202,768,506,99,38,201,2012,-,-6500,-133,-89,-1092,-171,-913,-610,-104,-59,-287,-391,-,-213
23101,愛知県,名古屋,名古屋市,千種区,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-78,88,-191,434,13,11,97,16,49,43,4,3,8,118,-,-391,-12,-8,-127,-9,-56,-52,-8,-6,-19,-45,-,-38
23102,愛知県,名古屋,名古屋市,東区,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-11,57,-72,299,7,1,39,10,43,29,6,2,11,55,-,-315,-6,-8,-62,-12,-21,-22,-7,-4,-15,-14,-,-12
23103,愛知県,名古屋,名古屋市,北区,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-80,94,-215,416,9,6,43,20,55,24,6,2,9,88,-,-403,-4,-7,-55,-6,-53,-26,-4,-4,-27,-19,-,-29
23104,愛知県,名古屋,名古屋市,西区,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-63,98,-179,413,4,1,44,17,56,49,6,4,15,43,-,-397,-5,-6,-66,-8,-42,-45,-9,-5,-22,-19,-,-10
23105,愛知県,名古屋,名古屋市,中村区,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,18,68,-178,474,10,8,66,21,80,33,2,2,8,214,-,-472,-5,-12,-88,-19,-80,-55,-11,-3,-23,-14,-,-8
23106,愛知県,名古屋,名古屋市,中区,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,109,53,-85,454,14,7,108,13,72,58,6,4,23,242,-,-468,-21,-8,-122,-13,-72,-62,-2,-2,-25,-37,-,-28
23107,愛知県,名古屋,名古屋市,昭和区,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-89,52,-117,308,4,2,50,9,33,22,10,1,6,100,-,-352,-5,-4,-52,-25,-26,-43,-11,-2,-6,-26,-,-17
23108,愛知県,名古屋,名古屋市,瑞穂区,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-64,69,-138,282,2,-,22,8,28,17,5,1,9,14,-,-248,-3,-,-35,-3,-23,-30,-2,-3,-10,-14,-,-12
23109,愛知県,名古屋,名古屋市,熱田区,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-60,34,-75,184,4,1,22,7,26,9,1,1,14,68,-,-227,-10,-2,-27,-2,-37,-17,-1,-4,-6,-16,-,-7
23110,愛知県,名古屋,名古屋市,中川区,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-56,123,-255,565,10,7,46,14,82,40,14,5,32,171,-,-575,-19,-3,-53,-22,-90,-70,-11,-3,-27,-24,-,-13
