１３　市町村の主要指標,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
市 　町　 村,面積,世帯数,人口(2013.10.1),,,人口増減数(2012.10～2013.9),,人口割合（2010.10.1),,民営事業所(2012.2.1),,製造品出荷額等,商業年間販売額,農業(2010.2.1),,新設住宅着工戸数,自動車保有車両数,普通会計歳出決算額,個人住民税負担額,交通事故発生件数,刑法犯認知件数
,(2013.10.1),(2013.10.1),総数,男性,女性,自然増減,社会増減,15歳未満,65歳以上,事業所数,従業者数,(2010.12.31),(2007.6.1),総農家数　,経営耕地面積,(2012年),(2012年度）,(2012年度）,（2012年度）,（2012年）,（2012年）
,km2,世帯,人,人,人 ,人 ,人 ,％ ,％ ,所 ,人 ,百万円,百万円,戸 ,ha ,戸 ,台,百万円,百万円,件 ,件 
総数,1901,3911620,8860280,4274390,4585890,-10406,7362,13,22,408713,4334776,15713108,61660209,26360,9409,61617,3452437,3816862,761542,48212,146966
大阪市,223,1353240,2683487,1301930,1381557,-5305,11417,12,23,189234,2192422,3566885,47300506,468,135,26533,800714,1699255,222195,15135,60776
堺市,150,350613,840862,403476,437386,-768,-796,14,23,29198,302156,3225587,1783320,2790,870,5031,379260,345105,70633,4972,12734
岸和田市,72,77338,197379,94567,102812,-205,-502,15,22,7432,64451,193248,328571,1319,514,1053,104467,73511,14287,1461,3177
豊中市,36,171027,394004,186710,207294,351,2117,14,22,13587,123597,257823,1009954,300,101,2440,131667,140529,45020,1806,4345
池田市,22,45399,103347,49822,53525,-82,-62,13,22,3649,38225,219486,147019,314,115,541,39822,36329,11056,566,1135
吹田市,36,160210,363716,175330,188386,514,3008,14,20,10962,134589,240681,2160418,207,70,3142,120862,114859,41618,1416,4322
泉大津市,13,31293,76510,36328,40182,-10,-582,16,20,3486,27910,147816,246202,146,32,407,35925,27233,5900,601,1295
高槻市,105,147947,355159,170012,185147,-371,-13,14,23,9367,98482,360425,521316,1457,463,2209,130766,102515,33115,1623,3011
貝塚市,44,33596,89989,43432,46557,-125,-230,16,22,3333,29495,231853,170924,724,278,451,48219,28727,6475,654,1515
守口市,13,65197,144766,70272,74494,-444,-166,13,25,6812,59013,167163,346459,84,32,848,51224,55988,10721,618,2419
枚方市,65,167334,405971,193793,212178,-39,-921,14,22,10102,113799,636605,471034,1342,436,2178,160610,118550,37247,2097,4482
茨木市,77,114840,278077,134867,143210,678,58,15,20,9132,100247,483377,1065895,1344,491,1884,110320,79890,28308,1709,3726
八尾市,42,110224,269793,129893,139900,-456,90,14,24,12250,112071,1059756,539898,1198,368,1540,113760,94066,21854,1476,4817
泉佐野市,56,39959,99849,47671,52178,-197,-227,15,22,4764,49192,214871,218009,1080,497,454,57667,42064,7298,792,1614
富田林市,40,45624,116540,55153,61387,-343,-783,14,22,3351,32768,118463,120985,1300,445,368,58218,36756,10075,620,1595
寝屋川市,25,100763,237433,115325,122108,-126,-1069,13,23,7548,65693,177083,359171,507,178,1122,90550,78851,18235,1244,3787
河内長野市,110,42032,109559,51457,58102,-406,-680,13,25,2814,24875,88844,102071,934,284,404,55766,32647,9908,462,1059
松原市,17,49448,122098,58606,63492,-375,-370,14,24,4881,38517,135826,229050,649,174,555,52944,39557,8526,724,2329
大東市,18,52416,124602,62145,62457,-152,-810,14,21,4746,50342,251813,259549,200,60,620,51080,39291,9057,630,2301
和泉市,85,70650,185784,89862,95922,78,168,16,19,5684,52696,147118,197196,1223,439,1006,95236,57043,14823,1073,2718
箕面市,48,55814,133997,64365,69632,167,1216,14,21,4176,40104,20401,384295,524,189,1400,54782,39870,16655,708,1491
柏原市,25,29925,73249,34823,38426,-148,-374,13,21,2391,23917,255195,98546,297,109,304,30434,21912,5706,350,810
羽曳野市,26,44900,115113,54352,60761,-281,-515,14,24,3706,33105,97683,145301,790,271,478,54327,38625,8704,629,1815
門真市,12,57759,127486,62857,64629,-274,-516,13,23,5805,70958,767915,298393,174,61,526,52194,54163,8468,678,1981
摂津市,15,36107,84429,42289,42140,109,-165,14,20,4147,50519,312822,289939,185,59,1015,46270,31392,6891,463,1308
高石市,11,23046,58300,27765,30535,-84,-210,15,23,2204,19273,860617,51761,145,35,255,26259,22664,5158,287,902
藤井寺市,9,27357,65822,31156,34666,-60,-39,14,23,2890,21461,38447,96829,202,43,367,27593,20968,5464,345,1226
東大阪市,62,219958,506230,247903,258327,-1083,-303,13,24,26285,235585,983212,2235669,689,186,2663,210852,185096,37376,2905,8778
泉南市,49,22934,63422,30385,33037,-87,-211,16,23,2235,23611,66051,99444,687,287,227,34881,22157,3867,356,1054
四條畷市　,19,22014,57015,27950,29065,-13,-234,16,21,1788,13358,27318,48200,204,78,201,24342,17944,4510,229,713
交野市,26,28575,76764,36824,39940,-10,-362,15,21,2029,17350,68040,73520,462,159,383,34471,22497,7194,339,899
大阪狭山市,12,22704,58048,27333,30715,14,-69,14,22,1877,18759,84087,73673,339,124,291,27722,18407,5698,358,609
阪南市,36,20906,55695,26527,29168,-180,-92,14,23,1592,11329,20833,35508,411,118,201,30655,15863,4137,211,514
島本町,17,11968,30199,14358,15841,33,22,14,21,643,6573,37555,15670,151,42,100,10139,9426,2927,84,186
豊能町,34,7757,20650,9802,10848,-154,-282,10,28,325,2109,1863,7851,330,183,18,12209,6014,2223,36,71
能勢町,99,3793,10805,5146,5659,-112,-165,10,27,413,3364,8382,7146,1039,692,5,10642,4642,781,39,97
忠岡町,4,6695,17792,8551,9241,-39,-82,16,23,635,6190,50790,55042,77,20,48,10038,7660,1161,97,263
熊取町,17,16294,44811,21824,22987,-89,-28,15,20,1231,9490,43665,27166,314,125,183,24140,11052,3737,176,386
田尻町,6,3826,8549,4338,4211,-6,412,17,21,352,3905,5413,15451,92,30,15,4168,4626,580,32,148
岬町,49,6530,16564,7604,8960,-180,-144,11,31,479,3873,8091,6323,185,54,33,10600,6533,1159,95,160
太子町,14,5002,14084,6826,7258,-29,-10,16,21,421,2778,5758,6226,353,133,50,9210,4538,1096,51,113
河南町,25,6536,16688,8107,8581,-88,-15,13,25,550,4871,12028,6985,772,305,64,12196,5096,1287,48,144
千早赤阪村,37,2070,5643,2654,2989,-29,-119,10,31,207,1754,12218,3727,352,125,4,5116,2954,413,17,46
資料出所,国土地理院,大阪府統計課,,,,,,,,総務省
経済産業省,,大阪府統計課,,,,国土交通省,(財)自動車
検査登録
情報協会,大阪府市町村課
大阪府徴税対策課,,大阪府警察本部,
