１３　市町村の主要指標,,,,,,,,,,,,,,,,,,,,,
市 　町　 村,面積,世帯数,人口(2015.10.1),,,人口増減数(2014.10～2015.9),,人口割合（2010.10.1),,民営事業所(2012.2.1),,製造品出荷額等,年間商品販売額,農業(2010.2.1),,新設住宅着工戸数,自動車保有車両数,普通会計歳出決算額,個人住民税負担額,交通事故発生件数,刑法犯認知件数
,(2014.10.1),(2015.10.1),総数,男性,女性,自然増減,社会増減,15歳未満,65歳以上,事業所数,従業者数,(2013.12.31),(2012.2.1),総農家数,経営耕地面積,(2014年),(2014年度）,(2014年度）,（2014年度）,（2014年）,（2014年）
,km2,世帯,人,人,人 ,人 ,人 ,％ ,％ ,事業所 ,人 ,百万円,,戸 ,ha ,戸 ,台,,,件 ,件 
総数,1905,3921923,8838908,4255081,4583827,-13281,1582,13,22,408713,4334776,16024460,50425250,26360,9409,64528,3479031,3840001,773054,42729,148257
大阪市,225,1354202,2691742,1302569,1389173,-5742,11238,12,23,189234,2192422,3485277,38141269,468,135,29116,805252,1635843,230101,13480,63719
堺市,150,350318,839891,402562,437329,-1089,964,14,23,29198,302156,3526523,1525417,2790,870,5334,382863,350241,71591,4367,13514
岸和田市,73,75232,194862,93096,101766,-400,-1324,15,22,7432,64451,222632,256575,1319,514,866,105478,72302,14461,1328,3304
豊中市,36,170274,394495,186946,207549,268,-756,14,22,13587,123597,242486,1228688,300,101,2916,132711,142328,46639,1403,4244
池田市,22,45638,103041,49422,53619,-111,82,13,22,3649,38225,500940,118609,314,115,758,39641,34245,10989,480,1141
吹田市,36,169405,374526,180551,193975,755,7867,14,20,10962,134589,299372,1595468,207,70,3773,121421,115958,43490,1206,3448
泉大津市,14,31064,75880,36208,39672,-66,-191,16,20,3486,27910,150430,217638,146,32,360,36659,28775,6048,533,1365
高槻市,105,147538,351831,168076,183755,-217,-1902,14,23,9367,98482,378611,502316,1457,463,1917,130708,111973,33050,1381,3484
貝塚市,44,33301,88703,42576,46127,-169,-863,16,22,3333,29495,251608,115453,724,278,293,49653,30228,6495,560,1303
守口市,13,65638,143068,68824,74244,-485,-804,13,25,6812,59013,123821,305609,84,32,833,51425,66060,10915,637,3035
枚方市,65,167377,403893,192810,211083,-390,-511,14,22,10102,113799,699660,444976,1342,436,2163,161870,123190,36697,1763,4115
茨木市,76,116704,280170,135707,144463,567,387,15,20,9132,100247,321099,837920,1344,491,2674,111349,85837,28363,1607,3317
