市 　町　 村,面積,世帯数,人口(2021.10.1),,,人口増減数(2020.10.1～2021.9.30),,人口密度(１K㎡当たり),人口割合（2021.10.1),,民営事業所(2016.6.1),,製造品出荷額等,年間商品販売額,総農家数,経営耕地面積,自動車保有車両総数,普通会計歳出決算額,個人住民税負担額,交通事故発生件数,刑法犯認知件数
,(2021.10.1),(2021.10.1),総数,男性,女性,自然増減,社会増減,(2021.10.1),15歳未満,65歳以上,事業所数,従業者数,(2020年),(2015年),(2020.2.1),(2020.2.1),(2020年度）,(2020年度）,（2020年度）,（2020年）,（2020年）
,㎢,世帯,人,,,,,人/k㎡,％,,所,人,百万円,,戸,ha,台,,,件,
総数,1905,4164292,8807279,4216653,4590626,-37517,7111,4622,12,27,392940,4393139,16938356,55693043,20813,7211,3544435,5173159886,866943822,25543,68351
大阪市,225,1483413,2750835,1324466,1426369,-12186,10609,12208,10,26,179252,2209412,3574713,41563672,348,94,823350,2014653275,276920023,8507,33774
堺市,150,367618,821598,391124,430474,-3790,-773,5484,12,28,28733,314806,3478169,1754618,2172,677,391288,507566565,77545518,2443,5247
岸和田市,73,79272,188815,89510,99305,-1024,-819,2596,12,28,7230,62794,242189,315188,1094,393,108152,96799953,15621518,637,1445
豊中市,36,178091,401062,188545,212517,-885,389,11021,14,26,13044,127496,312701,1087565,238,86,136223,199392263,52746734,937,1870
池田市,22,48942,104865,49853,55012,-350,222,4736,13,27,3647,38172,810877,148651,240,89,39749,50043642,11881641,248,450
吹田市,36,183112,388530,186444,202086,-285,3248,10766,14,24,11526,144593,267122,1919875,148,53,123595,180666429,48406044,742,1576
泉大津市,14,32681,73961,35071,38890,-218,-233,5161,12,26,3269,29108,150471,358216,125,28,36551,38283483,6457609,325,515
高槻市,105,153786,352056,167640,184416,-1229,587,3344,12,29,9320,102933,437971,555036,1213,384,130587,164661827,35279795,599,1458
貝塚市,44,33164,83235,39902,43333,-512,-696,1895,12,27,3295,29170,254239,150626,606,248,49924,43700427,6958985,287,529
守口市,13,68044,142381,68763,73618,-639,-76,11202,11,29,6127,53891,139897,262998,67,25,50909,83070690,12286838,476,1039
枚方市,65,173108,395255,187050,208205,-1708,-326,6070,12,29,10074,120556,771342,503476,1055,340,163961,189604776,38298079,1081,1647
茨木市,76,126104,287749,138629,149120,-190,209,3762,14,24,9279,102324,295092,1120555,1102,392,115133,125116473,31006380,705,1466
八尾市,42,114843,263245,124952,138293,-1327,-70,6310,12,28,11940,110440,1124562,633927,859,233,117370,134196878,24324474,670,1722
泉佐野市,57,43904,99222,47429,51793,-424,-485,1756,12,27,4694,53093,267230,319357,843,377,61634,68063997,8502515,437,693
富田林市,40,45836,107697,50352,57345,-619,-383,2711,11,31,3304,33193,154659,97771,1094,361,58754,54982219,10334782,360,553
寝屋川市,25,101974,228133,109912,118221,-1177,-423,9236,11,30,7096,69396,180019,387457,378,133,92986,117115340,19318417,801,1466
河内長野市,110,42453,100354,46767,53587,-895,-443,915,10,36,2701,25566,112302,108867,788,225,55289,47793196,9029607,221,350
松原市,17,52171,116646,56021,60625,-791,-204,7002,11,30,4607,39255,149073,196391,448,110,53825,57873292,9269849,432,849
大東市,18,52848,118349,57379,60970,-539,-479,6478,12,27,4606,51173,396803,202777,149,39,51898,60587115,9971721,305,733
和泉市,85,74303,183879,88433,95446,-420,-196,2164,13,25,5887,56223,196395,305688,1006,371,102357,87019284,16470939,623,1016
箕面市,48,58692,137418,65190,72228,-255,805,2869,15,25,4215,41537,25861,368928,415,133,59148,88430704,17483733,277,572
柏原市,25,30274,68274,32654,35620,-362,-139,2695,11,30,2268,23782,289579,92121,218,87,29878,35364921,5967931,209,301
羽曳野市,26,45235,107931,50638,57293,-767,-38,4081,11,30,3638,33235,134429,131936,563,190,55280,53155854,9173110,286,507
門真市,12,57635,118674,58169,60505,-849,-241,9648,10,30,5462,65823,312113,285065,123,40,53122,71342284,9402038,479,1086
摂津市,15,40491,87321,42966,44355,-41,-94,5872,13,26,4082,50781,382065,421729,161,48,48653,45271339,8081309,326,570
高石市,11,23213,55224,26077,29147,-227,-184,4887,13,28,2036,18889,748279,52194,104,24,26767,32228343,5493033,185,329
藤井寺市,9,27857,63173,29673,33500,-322,-193,7106,12,29,2665,19539,45026,89058,173,35,27815,30443611,5956245,192,360
東大阪市,62,233187,490173,238256,251917,-2955,-812,7934,11,28,24644,231607,1165490,1797420,532,134,215359,256074412,43360208,1686,3858
泉南市,49,23178,59379,28334,31045,-276,-447,1212,12,29,2128,23101,93473,85399,502,218,36305,30215391,3972687,142,429
四條畷市　,19,22452,54724,26511,28213,-268,-185,2928,12,27,1862,15197,28497,49978,170,62,24931,26956831,4850233,109,348
交野市,26,29815,74766,35605,39161,-297,30,2926,13,28,1934,17038,101865,65231,374,117,35488,35288636,7614727,253,276
大阪狭山市,12,24300,58175,27221,30954,-211,-49,4880,14,28,1835,20425,60612,66403,277,89,29129,26782625,5935996,172,295
阪南市,36,20722,50455,23862,26593,-413,-386,1395,11,33,1506,11165,29713,31123,347,99,31100,24689834,4075204,63,248
島本町,17,12972,30995,14636,16359,16,52,1844,15,28,610,6926,56298,31487,117,36,10624,17248250,3068515,25,81
