大阪府の住民基本台帳人口（令和３年1月1日現在）,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
市町村名,,人口,人口,人口,人口,世帯数,世帯数,世帯数
,,男,男,女,女,世帯数,世帯数,世帯数
,,日本人,外国人,日本人,外国人,日本人,外国人,複数国籍
大阪市,都島区,48928,1754,53210,1658,55078,2160,528
大阪市,福島区,36315,796,40159,874,41782,908,374
大阪市,此花区,31292,1034,32614,1052,33291,1265,365
大阪市,西区,46135,2258,52271,2454,58134,3029,766
大阪市,港区,37922,1684,39526,1612,41942,2078,480
大阪市,大正区,30721,971,31755,796,32506,1070,299
大阪市,天王寺区,34704,2177,40255,2477,38229,2493,774
大阪市,浪速区,31349,4448,29547,4790,43360,6509,951
大阪市,西淀川区,46011,2381,47226,2151,47535,2785,569
大阪市,東淀川区,81688,3629,83686,3539,94979,4886,915
大阪市,東成区,36798,3489,40477,3855,42404,4379,974
大阪市,生野区,48189,13178,51214,14449,53274,16054,2885
大阪市,旭区,42149,1100,45814,1216,47050,1432,392
大阪市,城東区,79000,2575,86673,2792,84152,3123,978
大阪市,阿倍野区,49874,1719,57973,1680,53174,2060,594
大阪市,住吉区,69632,2143,78749,2303,77754,2542,813
大阪市,東住吉区,60910,1907,67103,1923,66709,2185,743
大阪市,西成区,56237,5187,39333,4829,64508,7111,983
大阪市,淀川区,85931,3606,86917,3814,99736,4882,1124
大阪市,鶴見区,53042,1008,58202,1090,50644,994,559
大阪市,住之江区,56047,2005,60156,2197,60566,2436,760
大阪市,平野区,88486,4414,97401,4387,93676,4873,1421
大阪市,北区,61911,2777,65494,2998,78349,3418,1007
大阪市,中央区,45556,3919,51258,5028,61411,5872,1313
堺市,堺区,69445,2536,72087,2522,74153,3187,779
堺市,中区,58551,840,62024,729,54697,920,351
堺市,東区,40826,484,44909,384,39236,490,208
堺市,西区,65309,1119,70363,844,62430,1165,409
堺市,南区,64089,1595,73667,1363,63570,1295,512
堺市,北区,74625,997,82757,1103,74002,1126,511
堺市,美原区,18089,596,19349,279,16338,664,108
岸和田市,,90959,1570,99032,1175,86218,1804,416
豊中市,,191714,2948,211643,3091,190139,3280,1326
池田市,,48553,1096,53070,993,47414,1247,339
吹田市,,177446,2715,193021,2919,171545,3195,1151
泉大津市,,34763,698,38116,774,33675,856,298
高槻市,,166196,1692,181470,1724,159589,1842,831
貝塚市,,40526,606,43501,487,37023,717,193
守口市,,68477,1306,72384,1369,71171,1454,619
枚方市,,189420,2293,205706,2271,178901,2432,1000
茨木市,,135282,1765,144382,1804,125405,2088,759
八尾市,,122890,4015,134486,3878,120773,4091,1248
泉佐野市,,46893,868,50796,1104,45953,1289,287
富田林市,,51099,881,57320,694,50332,1018,253
寝屋川市,,109789,1629,117516,1529,108429,1776,726
河内長野市,,48274,393,54354,311,47033,389,203
松原市,,56156,1006,60707,852,55575,1063,399
大東市,,56772,1487,59816,1377,55131,1662,451
和泉市,,88174,1403,94390,1214,78224,1574,505
箕面市,,64976,1374,71053,1487,59726,1878,470
柏原市,,32066,796,34836,622,30700,920,201
羽曳野市,,51769,583,57185,569,49627,693,269
門真市,,57644,1754,59534,1604,60536,1857,540
摂津市,,42137,944,42939,720,40193,798,280
高石市,,27157,266,29829,288,25492,282,146
藤井寺市,,30123,433,33302,342,28979,459,174
東大阪市,,227251,9447,239955,9275,229007,10745,2782
泉南市,,29171,405,31213,360,25789,452,180
四條畷市,,26759,300,28053,305,24152,328,169
交野市,,37179,310,39841,284,32683,294,166
大阪狭山市,,27501,226,30746,232,25638,261,114
阪南市,,25130,231,27554,187,23839,214,125
三島郡,島本町,15025,117,16649,125,13571,105,92
豊能郡,豊能町,9072,47,9913,61,8584,35,54
豊能郡,能勢町,4652,61,4944,52,4470,77,25
泉北郡,忠岡町,7932,266,8466,268,7453,356,66
泉南郡,熊取町,20835,181,22261,130,17979,178,90
泉南郡,田尻町,4261,57,4265,59,4004,61,33
泉南郡,岬町,7127,158,7987,149,7337,245,46
南河内郡,太子町,6434,83,6704,45,5461,90,25
南河内郡,河南町,7410,85,7782,69,6483,110,23
南河内郡,千早赤阪村,2409,8,2651,11,2269,5,9
