大阪府の住民基本台帳人口（令和４年１月１日現在）,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,人口,人口,人口,人口,世帯数,世帯数,世帯数
,,男,男,女,女,世帯数,世帯数,世帯数
,,日本人,外国人,日本人,外国人,日本人,外国人,複数国籍
大阪市,都島区,48775,1634,53229,1600,56158,1948,555
大阪市,福島区,36449,778,40341,858,42678,874,379
大阪市,此花区,31116,998,32464,993,33725,1162,381
大阪市,西区,46642,2151,52766,2258,60310,2762,771
大阪市,港区,37376,1542,39040,1568,42258,1907,464
大阪市,大正区,30237,928,31349,769,32770,989,300
大阪市,天王寺区,35006,2131,40780,2447,39706,2404,790
大阪市,浪速区,32105,4293,30398,4469,46019,6160,930
大阪市,西淀川区,45728,2319,47126,2151,48518,2694,577
大阪市,東淀川区,81099,3408,83141,3370,96168,4505,931
大阪市,東成区,36717,3222,40834,3597,44142,3981,959
大阪市,生野区,48021,12671,51091,13917,56811,15338,2850
大阪市,旭区,41908,1059,45670,1092,47633,1260,400
大阪市,城東区,78739,2397,86581,2617,85615,2821,987
大阪市,阿倍野区,49954,1591,58064,1607,54268,1775,617
大阪市,住吉区,69151,2146,78518,2342,78916,2586,828
大阪市,東住吉区,60594,1877,66808,1930,67800,2129,753
大阪市,西成区,55487,5258,39074,4928,65217,7094,1002
大阪市,淀川区,86020,3501,86917,3733,101685,4747,1105
大阪市,鶴見区,52741,987,57992,1081,51461,995,548
大阪市,住之江区,55325,2023,59405,2234,61178,2459,763
大阪市,平野区,87430,3952,96587,4163,95272,4301,1416
大阪市,北区,62503,2674,66138,2869,80545,3229,1003
大阪市,中央区,47049,3744,52964,4871,65352,5581,1298
堺市,堺区,69384,2399,72165,2406,74777,2936,784
堺市,中区,57984,806,61802,716,54969,866,344
堺市,東区,40633,470,44681,416,39338,498,209
堺市,西区,64894,1061,70041,860,62722,1108,406
堺市,南区,62983,1540,72765,1394,63281,1285,490
堺市,北区,74186,966,82534,1071,74447,1093,508
堺市,美原区,17958,554,19177,312,16433,638,105
岸和田市,,89970,1594,98136,1153,86389,1790,419
豊中市,,191355,2907,211471,3069,191085,3184,1353
池田市,,48464,936,53098,889,47811,1085,329
吹田市,,178445,2636,194938,2850,174528,2991,1171
泉大津市,,34590,683,37800,734,33810,822,289
高槻市,,165474,1699,181018,1750,160219,1841,846
貝塚市,,39983,546,42959,507,36922,659,197
守口市,,67991,1239,72081,1344,71361,1382,610
枚方市,,188392,2222,204831,2236,179729,2339,1007
茨木市,,135309,1713,144731,1751,126650,1959,767
八尾市,,121959,3901,133967,3866,121369,3969,1247
泉佐野市,,46609,816,50377,1038,46198,1173,287
富田林市,,50568,874,56859,688,50450,975,261
寝屋川市,,109040,1601,117031,1505,109083,1722,734
河内長野市,,47551,402,53549,336,46915,414,208
松原市,,55715,1000,60265,821,55911,1032,403
大東市,,56246,1408,59356,1316,55369,1527,447
和泉市,,87863,1408,94123,1221,78797,1564,501
箕面市,,65162,1330,71187,1447,60148,1811,487
柏原市,,31735,812,34569,643,30851,947,205
羽曳野市,,51482,577,56917,589,49975,699,264
門真市,,56906,1717,58953,1585,60735,1800,530
摂津市,,42053,862,43075,699,40917,985,276
高石市,,26989,254,29682,301,25648,266,152
藤井寺市,,29795,395,33013,329,28956,398,181
東大阪市,,225353,9171,238340,9269,230150,10499,2781
泉南市,,28726,373,30875,343,25833,401,178
四條畷市,,26533,301,27906,275,24231,304,171
交野市,,37018,303,39816,294,32966,284,174
大阪狭山市,,27341,225,30683,247,25739,272,120
阪南市,,24715,233,27166,185,23751,211,123
三島郡,島本町,14985,123,16669,122,13762,119,86
豊能郡,豊能町,8925,50,9777,71,8579,42,59
豊能郡,能勢町,4539,59,4839,50,4466,75,24
泉北郡,忠岡町,7853,267,8433,240,7456,330,68
泉南郡,熊取町,20696,172,22156,130,18121,165,91
泉南郡,田尻町,4135,49,4251,57,3925,52,33
泉南郡,岬町,7012,57,7879,87,7307,82,47
南河内郡,太子町,6351,76,6609,40,5471,80,25
南河内郡,河南町,7328,74,7674,71,6541,98,24
南河内郡,千早赤阪村,2348,9,2599,14,2249,8,10
