地域階層,地域コード,地域,人口総数（日本人＋外国人）,前月人口総数との増減,人口／日本人／総数,人口／日本人／男,人口／日本人／女,人口／外国人／総数,人口／外国人／男,人口／外国人／女,世帯数／総世帯数,世帯数／日本人のみの世帯数,世帯数／外国人のみの世帯数,世帯数／日本人と外国人の複数国籍世帯数
0,13000,総数,13530053,-2356,13043707,6438100,6605607,486346,236904,249442,6994147,6630981,275995,87171
1,13100,区部,9302962,-1821,8892312,4380346,4511966,410650,201619,209031,4997068,4691574,237415,68079
1,13200,市部,4142500,-413,4067867,2015433,2052434,74633,34793,39840,1956050,1899228,38139,18683
2,13300,郡部,58284,-75,57486,28930,28556,798,395,403,26013,25413,327,273
2,13350,島部,26307,-47,26042,13391,12651,265,97,168,15016,14766,114,136
1,13100,区部,9302962,-1821,8892312,4380346,4511966,410650,201619,209031,4997068,4691574,237415,68079
4,13101,千代田区,59788,-9,57123,28521,28602,2665,1466,1199,33596,31510,1661,425
4,13102,中央区,149640,419,143464,68286,75178,6176,3162,3014,85381,80746,3456,1179
4,13103,港区,249242,20,230250,107365,122885,18992,9988,9004,141710,128356,10253,3101
4,13104,新宿区,338488,-700,297253,148747,148506,41235,21508,19727,213800,180356,30040,3404
4,13105,文京区,213969,60,204795,97283,107512,9174,4472,4702,116661,109210,6234,1217
4,13106,台東区,193822,22,179222,92003,87219,14600,7343,7257,113981,102887,9148,1946
4,13107,墨田区,265238,-153,253743,126873,126870,11495,4941,6554,144952,136363,6094,2495
4,13108,江東区,506511,109,480434,238630,241804,26077,12320,13757,258160,241497,12146,4517
4,13109,品川区,382761,-36,371019,182093,188926,11742,5729,6013,212067,203407,6114,2546
4,13110,目黒区,273708,-148,265614,125151,140463,8094,4293,3801,152687,146313,4562,1812
4,13111,大田区,717295,-102,695696,347768,347928,21599,10284,11315,379497,364064,10744,4689
4,13112,世田谷区,892535,-289,874339,414901,459438,18196,9318,8878,467605,453085,10056,4464
4,13113,渋谷区,222278,-202,212453,101373,111080,9825,5352,4473,134595,126929,5918,1748
4,13114,中野区,325460,-115,309767,156204,153563,15693,7973,7720,198421,185058,11406,1957
4,13115,杉並区,558950,36,544407,261241,283166,14543,7279,7264,313376,301313,9638,2425
4,13116,豊島区,284307,-118,257247,129454,127793,27060,13938,13122,175018,152738,20016,2264
4,13117,北区,345149,-60,325597,161778,163819,19552,9799,9753,190156,175877,11702,2577
4,13118,荒川区,213113,-176,195282,97608,97674,17831,8716,9115,112677,100143,10210,2324
4,13119,板橋区,557309,-109,534642,264801,269841,22667,10526,12141,298048,281078,13054,3916
4,13120,練馬区,723711,-16,707289,346119,361170,16422,7566,8856,360633,348043,8953,3637
4,13121,足立区,681281,-96,653864,329467,324397,27417,12326,15091,334551,316825,11333,6393
4,13122,葛飾区,456893,13,438125,219728,218397,18768,8930,9838,225737,213072,9124,3541
4,13123,江戸川区,691514,-171,660687,334952,325735,30827,14390,16437,333759,312704,15553,5502
1,13200,市部,4142500,-413,4067867,2015433,2052434,74633,34793,39840,1956050,1899228,38139,18683
4,13201,八王子市,563228,-73,552115,277014,275101,11113,5208,5905,262401,253694,6170,2537
4,13202,立川市,181554,68,177695,88710,88985,3859,1774,2085,88650,85920,1768,962
4,13203,武蔵野市,143964,-18,141147,67643,73504,2817,1404,1413,75240,72885,1720,635
4,13204,三鷹市,185101,-172,181725,89089,92636,3376,1614,1762,91928,89179,1885,864
4,13205,青梅市,135986,-28,134340,67593,66747,1646,665,981,62306,61034,657,615
4,13206,府中市,258000,-93,253324,128173,125151,4676,1987,2689,122656,119072,2400,1184
4,13207,昭島市,112789,-46,110322,55086,55236,2467,1136,1331,52807,51042,1154,611
4,13208,調布市,229886,19,225849,110835,115014,4037,1926,2111,115223,112077,2121,1025
4,13209,町田市,428572,7,423067,207807,215260,5505,2602,2903,192320,188291,2397,1632
4,13210,小金井市,119359,-81,116980,57894,59086,2379,1179,1200,58829,56986,1368,475
4,13211,小平市,189885,57,185324,91473,93851,4561,2184,2377,88967,85320,2876,771
4,13212,日野市,183589,-95,180784,90927,89857,2805,1346,1459,86257,84077,1483,697
4,13213,東村山市,150739,4,148215,72645,75570,2524,1169,1355,71417,69576,1159,682
4,13214,国分寺市,120656,56,118746,58694,60052,1910,946,964,58019,56535,1068,416
4,13215,国立市,75452,1,73943,36226,37717,1509,712,797,36815,35749,717,349
4,13218,福生市,58554,-15,55195,27671,27524,3359,1665,1694,29977,27304,2124,549
4,13219,狛江市,80807,-59,79639,38727,40912,1168,572,596,40806,39888,585,333
4,13220,東大和市,85945,-59,84855,41987,42868,1090,412,678,38291,37523,408,360
4,13221,清瀬市,74510,-17,73374,35484,37890,1136,497,639,34709,33887,444,378
4,13222,東久留米市,116867,33,115045,56401,58644,1822,761,1061,53225,51974,650,601
4,13223,武蔵村山市,72238,20,70811,35478,35333,1427,561,866,30928,29955,540,433
4,13224,多摩市,148293,3,145891,71609,74282,2402,1045,1357,70327,68532,1133,662
4,13225,稲城市,89089,86,87906,44350,43556,1183,571,612,38809,37990,456,363
4,13227,羽村市,56244,-6,55011,28029,26982,1233,555,678,25523,24667,537,319
4,13228,あきる野市,81403,22,80663,40313,40350,740,330,410,34928,34358,285,285
4,13229,西東京市,199790,-27,195901,95575,100326,3889,1972,1917,94692,91713,2034,945
1,13550,町村部,84591,-122,83528,42321,41207,1063,492,571,41029,40179,441,409
2,13300,郡部,58284,-75,57486,28930,28556,798,395,403,26013,25413,327,273
4,13303,瑞穂町,33716,-45,33041,16832,16209,675,346,329,14752,14256,289,207
4,13305,日の出町,17015,-9,16929,8346,8583,86,32,54,7403,7332,25,46
4,13307,檜原村,2283,-2,2273,1146,1127,10,2,8,1189,1181,5,3
4,13308,奥多摩町,5270,-19,5243,2606,2637,27,15,12,2669,2644,8,17
2,13350,島部,26307,-47,26042,13391,12651,265,97,168,15016,14766,114,136
3,13360,大島支庁,12961,-22,12869,6497,6372,92,67,25,7182,7096,60,26
4,13361,大島町,8015,-9,7937,4055,3882,78,60,18,4752,4680,56,16
4,13362,利島村,315,0,314,167,147,1,1,0,173,172,1,0
4,13363,新島村,2753,-9,2743,1321,1422,10,5,5,1361,1351,2,8
4,13364,神津島村,1878,-4,1875,954,921,3,1,2,896,893,1,2
3,13380,三宅支庁,2886,-13,2843,1560,1283,43,10,33,1849,1808,18,23
4,13381,三宅村,2583,-9,2541,1394,1147,42,10,32,1681,1641,18,22
4,13382,御蔵島村,303,-4,302,166,136,1,0,1,168,167,0,1
3,13400,八丈支庁,7866,-13,7762,3898,3864,104,9,95,4495,4397,21,77
4,13401,八丈町,7706,-11,7602,3807,3795,104,9,95,4387,4289,21,77
4,13402,青ヶ島村,160,-2,160,91,69,0,0,0,108,108,0,0
3,13420,小笠原支庁,2594,1,2568,1436,1132,26,11,15,1490,1465,15,10
4,13421,小笠原村,2594,1,2568,1436,1132,26,11,15,1490,1465,15,10
,,,,,,,,,,,,,,
住民基本台帳による世帯と人口_平成29年１月,,,,,,,,,,,,,,
住民基本台帳による世帯と人口（日本人及び外国人）平成29年１月１日現在,,,,,,,,,,,,,,
注）町村部は、郡部と島部を含む地域である。,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,
